"theta"	"age"	"sex"	"experience"	"sbsod"
0.395586534539554	-1.675	0	-1.291875	1.21085
1.02390506525751	1.325	0	1.208125	0.61085
0.63993262981876	-0.675000000000001	1	-1.791875	0.480849999999999
1.30315774557661	1.325	0	1.208125	0.810849999999999
-0.581797846577271	0.324999999999999	1	1.208125	-1.71915
-1.38464930249466	-1.675	1	-1.291875	-0.64915
-0.162918826098632	-0.675000000000001	0	-1.291875	0.28085
1.54750384085581	-1.675	1	-1.291875	-0.64915
-1.76862173793341	-1.675	0	-0.791875	-0.24915
0.116333854220461	-0.675000000000001	1	-0.791875	-2.04915
0.0116140991008013	2.325	0	1.208125	0.88085
0.151240439260348	1.325	0	-1.291875	-0.04915
2.55979480701252	-1.675	1	-1.291875	-0.98915
0.447946412099384	1.325	1	1.208125	0.28085
-0.0581990709789719	0.324999999999999	1	-0.791875	0.41085
1.44278408573615	-1.675	0	-1.791875	1.35085
0.605026044778873	0.324999999999999	1	0.208125	-2.38915
0.709745799898533	1.325	0	2.208125	-0.98915
-1.83843490801319	1.325	1	1.208125	1.15085
-0.581797846577271	0.324999999999999	0	0.208125	1.88085
-0.546891261537384	0.324999999999999	0	0.708125	-1.04915
1.09371823533729	0.324999999999999	0	0.208125	0.75085
0.954091895177739	1.325	0	2.208125	-1.24915
-0.0232924859390853	2.325	1	2.208125	0.75085
2.61215468457235	0.324999999999999	1	1.208125	0.0808499999999999
0.570119459738987	0.324999999999999	1	0.708125	-0.18915
0.255960194380007	-0.675000000000001	0	0.208125	1.48085
0.360679949499667	0.324999999999999	1	0.208125	0.41085
0.919185310137853	-0.675000000000001	0	-1.291875	0.150849999999999
1.26825116053672	0.324999999999999	1	0.708125	0.0108499999999996
1.30315774557661	0.324999999999999	1	0.208125	-0.71915
-0.721424186736817	-0.675000000000001	0	-0.791875	0.61085
1.37297091565638	0.324999999999999	0	0.208125	-1.44915
3.08339358261082	2.325	0	2.208125	0.0108499999999996
0.151240439260348	-0.675000000000001	0	-0.791875	-0.24915
2.69942114717207	-0.675000000000001	1	-0.791875	-0.44915
-0.407264921377838	0.324999999999999	0	-1.791875	1.21085
1.79184993613502	1.325	0	1.208125	0.75085
-0.302545166258178	-0.675000000000001	1	-0.291875	-1.04915
1.19843799045695	-0.675000000000001	0	-0.791875	-0.78915
